001	Antífona	Abertura de culto
005	Presença divina	Presença de Deus
006	Glória ao Senhor	Adoração
007	Maravilhas divinas	Adoração
009	Santo, santo, santo	Adoração / Trindade
012	Louvamos	Louvor
015	A Deus demos glória	Louvor
026	Rei excelso	Adoração / Cristo Rei
027	Natal	Natal
028	Nasceu o Redentor	Natal
029	Nasce Jesus	Natal
030	Noite de paz	Natal
032	Cristo em Belém	Natal
033	Nasceu Jesus	Natal
037	Amor glorioso	Amor de Cristo
039	A ovelha perdida	Salvação
042	Realização	Salvação
046	Jesus me transformou	Testemunho
060b	Coroai	Adoração / Cristo Rei
092	Morri na cruz por ti	Cruz / Redenção
094	Jesus na cruz	Cruz / Redenção
096	Deslumbrante	Adoração
108	Chamada final	Convite à salvação
116	Desejo da alma	Aspiração cristã
119	Fidelidade	Fidelidade de Deus
123	Bendito Cordeiro	Cruz / Redenção
132	Ebenézer	Gratidão
135	Louvor	Louvor
139	Dia do Senhor	Culto / Dia do Senhor
145	Batismo	Batismo
148	Hora bendita	Oração
152	Pastor divino	Cristo Pastor
154	Firme nas promessas	Fé / Promessas
155	Em Jesus amigo temos	Amizade com Cristo
160	A fé contemplada	Fé
168	Chuvas de bênçãos	Avivamento / Bênção
169	Mais de Cristo	Aspiração cristã
179_180	Fim do culto / Despedida	Despedida
186	É Jesus quem salva	Salvação
188	O evangelho	Evangelismo
198	Aleluia	Louvor
215	Fonte bendita	Salvação / Purificação
217	Segue-me	Chamado / Discipulado
222	Manso e suave	Convite à salvação
236	Atribulado coração	Consolo
239	A luz do céu	Salvação
247	Vem, filho perdido	Convite à salvação
266	Tal qual estou	Convite à salvação
270	Resolução	Consagração
274	Côro santo	Vida futura / Céu
278	Cantai	Louvor
283	Mais perto	Comunhão com Deus
287	Com Jesus	Comunhão com Deus
289	Ao pé da cruz	Cruz / Redenção
295	Tudo entregarei	Consagração
296	Consagração	Consagração
301	Crer e observar	Obediência
305	Consagrar tudo	Consagração
306	O caminho da cruz	Cruz / Discipulado
325	Naufrágio	Evangelismo / Salvação
327	O piloto	Fé / Confiança
329	Conta as bênçãos	Gratidão
334	Alívio	Consolo
342	A minha cruz	Discipulado
344	Deus cuidará de ti	Cuidado de Deus
347	O coração em paz	Paz
350	Quero o Salvador	Comunhão com Deus
356	Jesus como guia	Direção divina
366	Firmeza	Fé / Confiança
368	Confiança	Fé / Confiança
371	Rocha eterna	Salvação / Segurança
