Musicas/contemporaneas/A/A Alegria Está No Coração - Eu só confio no Senhor - Posso pisar numa tropa (Medley).pdf	Corinhos (medley)	Alegria e vitória
Musicas/contemporaneas/A/A Alegria está no coração.pdf	Corinho tradicional	Alegria em Deus
Musicas/contemporaneas/A/A Batalha é do Senhor.pdf	Corinho tradicional	Guerra espiritual / Vitória
Musicas/contemporaneas/A/Abra os olhos do meu coração - Forever.pdf	Paul Baloche / Chris Tomlin	Adoração
Musicas/contemporaneas/A/Abra os Olhos do meu coração.pdf	Paul Baloche	Adoração
Musicas/contemporaneas/A/A casa.pdf		Família / Lar †
Musicas/contemporaneas/A/Achei um Grande Amigo.pdf	Hinário tradicional	Amizade com Cristo
Musicas/contemporaneas/A/Aclame ao Senhor.pdf	Darlene Zschech (Shout to the Lord)	Adoração
Musicas/contemporaneas/A/A Colheita.pdf		Missões / Evangelismo †
Musicas/contemporaneas/A/Adorador.pdf		Adoração †
Musicas/contemporaneas/A/Adorarei.pdf	Diante do Trono	Adoração
Musicas/contemporaneas/A/Agnus Dei.pdf	Michael W. Smith	Adoração
Musicas/contemporaneas/A/Agrada-te do Senhor.pdf		Fé / Confiança †
Musicas/contemporaneas/A/Aguas Cristalinas.pdf		Restauração †
Musicas/contemporaneas/A/Aguas Purificadoras.pdf		Santidade †
Musicas/contemporaneas/A/Alguem como eu.pdf		Graça †
Musicas/contemporaneas/A/Aliança de Amor.pdf		Santa Ceia
Musicas/contemporaneas/A/Alto Preço.pdf		Cruz / Redenção †
Musicas/contemporaneas/A/Alvo mais que a Neve fernandinho ré maior.pdf	Fernandinho (hino tradicional)	Perdão / Purificação
Musicas/contemporaneas/A/Amanheceu.pdf		Gratidão †
Musicas/contemporaneas/A/Amigos vamos Ser.pdf		Comunhão fraternal †
Musicas/contemporaneas/A/A Minha Vida É do Mestre.pdf		Consagração †
Musicas/contemporaneas/A/Amizade (Que bom te ter aqui comigo).pdf		Comunhão fraternal †
Musicas/contemporaneas/A/Amo o Senhor.pdf		Adoração †
Musicas/contemporaneas/A/Amor - DJ Alpiste.pdf	DJ Alpiste	Amor de Deus
Musicas/contemporaneas/A/Amor Incondicional.pdf		Amor de Deus †
Musicas/contemporaneas/A/Anseio por mais de Ti.pdf		Comunhão com Deus †
Musicas/contemporaneas/A/Ao Cheiro das Águas.pdf		Restauração †
Musicas/contemporaneas/A/Ao erguermos as mãos.pdf		Adoração †
Musicas/contemporaneas/A/Ao Orarmos Senhor.pdf	Hinário (HCC 374)	Oração
Musicas/contemporaneas/A/Ao que estás assentado.pdf		Adoração †
Musicas/contemporaneas/A/Ao Sentir.pdf		Adoração †
Musicas/contemporaneas/A/A Paz do Senhor - lá.pdf	Corinho tradicional	Comunhão fraternal
Musicas/contemporaneas/A/A Paz do Senhor - ré.pdf	Corinho tradicional	Comunhão fraternal
Musicas/contemporaneas/A/Aqui eu vim para Dizer.pdf		Adoração †
Musicas/contemporaneas/A/Autor da Minha Fé.pdf		Fé / Confiança †
Musicas/contemporaneas/B/Baião.pdf		Louvor †
Musicas/contemporaneas/B/Basta Querer.pdf		Fé / Confiança †
Musicas/contemporaneas/B/Bem Aventurado.pdf		Palavra de Deus †
Musicas/contemporaneas/B/Bem mais que tudo.pdf		Adoração †
Musicas/contemporaneas/B/Bendito Cordeiro (123 cc).pdf	Cantor Cristão 123	Cruz / Redenção
Musicas/contemporaneas/B/Bom Estarmos Aqui.pdf		Comunhão fraternal †
Musicas/contemporaneas/B/Brighter Day.pdf	Kirk Franklin	Alegria em Deus
Musicas/contemporaneas/B/Eu te Bendirei - A.pdf		Louvor †
Musicas/contemporaneas/B/Eu te Bendirei - C.pdf		Louvor †
Musicas/contemporaneas/C/Cada Momento 354 cc E.pdf	Cantor Cristão 354	Fé / Confiança
Musicas/contemporaneas/C/Cada Momento 354 cc G.pdf	Cantor Cristão 354	Fé / Confiança
Musicas/contemporaneas/C/Canção da Alvorada.pdf		Louvor †
Musicas/contemporaneas/C/Cantarei teu amor pra sempre.pdf	Delirious (I Could Sing of Your Love Forever)	Adoração
Musicas/contemporaneas/C/Capacita-me.pdf		Consagração / Serviço †
Musicas/contemporaneas/C/Casa de Benção.pdf		Família / Lar †
Musicas/contemporaneas/C/Casa do Oleiro .pdf		Consagração / Quebrantamento †
Musicas/contemporaneas/C/Centro da tua vontade.pdf		Consagração †
Musicas/contemporaneas/C/Cerca de Ti.pdf		Comunhão com Deus †
Musicas/contemporaneas/C/Com a Minha Voz Clamo ao Senhor.pdf	Hinário (HCC 380)	Oração
Musicas/contemporaneas/C/Como Agradecer.pdf		Gratidão †
Musicas/contemporaneas/C/Compaixão que faz Milagres.pdf		Cura / Milagres †
Musicas/contemporaneas/C/Comunhão Kleber Lucas.pdf	Kleber Lucas	Comunhão com Deus
Musicas/contemporaneas/C/Confiarei.pdf		Fé / Confiança †
Musicas/contemporaneas/C/Confiar em Cristo - 406 CC.pdf	Cantor Cristão 406	Fé / Confiança
Musicas/contemporaneas/C/Confiar em Cristo - Flavio.pdf	Cantor Cristão 406 (arr.)	Fé / Confiança
Musicas/contemporaneas/C/Consagração.pdf		Consagração †
Musicas/contemporaneas/C/Coração de Pedra.pdf		Quebrantamento †
Musicas/contemporaneas/C/Coração Igual ao Teu.pdf	Diante do Trono	Quebrantamento / Consagração
Musicas/contemporaneas/C/Corpo e Familia.pdf		Igreja / Comunhão fraternal †
Musicas/contemporaneas/C/Creio que Tu és a Cura - G.pdf	Hillsong	Cura / Fé
Musicas/contemporaneas/C/Creio que Tu és a Cura (Hillsong).pdf	Hillsong	Cura / Fé
Musicas/contemporaneas/C/Cria em Mim.pdf	Salmo 51	Arrependimento / Santidade
Musicas/contemporaneas/C/Cria em mim Tom A.pdf	Salmo 51	Arrependimento / Santidade
Musicas/contemporaneas/C/Cristo tem amor por mim (173 cc).pdf	Cantor Cristão 173	Amor de Cristo
Musicas/contemporaneas/C/Hino 067 CC Cristo Exaltado.pdf	Cantor Cristão 067	Adoração / Cristo Rei
Musicas/contemporaneas/D/Dai Glória Deus.pdf		Louvor †
Musicas/contemporaneas/D/Dai Louvor.pdf		Louvor †
Musicas/contemporaneas/D/Deep in love if you.pdf		Adoração †
